package,cran,source,web
arsenal,https://cran.r-project.org/package=arsenal,https://github.com/mayoverse/arsenal,https://mayoverse.github.io/arsenal/
DT,https://cran.r-project.org/package=DT,https://github.com/rstudio/DT,https://rstudio.github.io/DT/
flextable,https://cran.r-project.org/package=flextable,https://github.com/davidgohel/flextable/,https://davidgohel.github.io/flextable/
formattable,https://cran.r-project.org/package=formattable,https://github.com/renkun-ken/formattable,https://renkun-ken.github.io/formattable/
gt,https://cran.r-project.org/package=gt,https://github.com/rstudio/gt,https://gt.rstudio.com/
huxtable,https://cran.r-project.org/package=huxtable,https://github.com/hughjonesd/huxtable/,https://hughjonesd.github.io/huxtable/
knitr,https://cran.r-project.org/package=knitr,https://github.com/yihui/knitr/,https://yihui.org/knitr/
kableExtra,https://cran.r-project.org/package=kableExtra,https://github.com/haozhu233/kableExtra,http://haozhu233.github.io/kableExtra/
mmtable2,,https://github.com/ianmoran11/mmtable2,https://ianmoran11.github.io/mmtable2/
modelsummary,https://cran.r-project.org/package=modelsummary,https://github.com/vincentarelbundock/modelsummary/,https://modelsummary.com/
pander,https://cran.r-project.org/package=pander,https://github.com/rapporter/pander/,https://rapporter.github.io/pander/
plotly,https://cran.r-project.org/package=plotly,https://plotly-r.com/,https://github.com/plotly/plotly.R
pixiedust,https://cran.r-project.org/package=pixiedust,https://github.com/nutterb/pixiedust/,https://github.com/nutterb/pixiedust
reactable,https://cran.r-project.org/package=reactable,https://github.com/glin/reactable,https://glin.github.io/reactable/
rhandsontable,https://cran.r-project.org/package=rhandsontable,https://github.com/jrowen/rhandsontable/,http://jrowen.github.io/rhandsontable/
sjPlot,https://cran.r-project.org/package=sjPlot,https://github.com/strengejacke/sjPlot/,https://strengejacke.github.io/sjPlot/
stargazer,https://cran.r-project.org/package=stargazer,,
table1,https://cran.r-project.org/package=table1,https://github.com/benjaminrich/table1/,https://github.com/benjaminrich/table1
tinytable,https://cran.r-project.org/package=tinytable,https://github.com/vincentarelbundock/tinytable/,https://vincentarelbundock.github.io/tinytable/
ttt,https://cran.r-project.org/package=ttt,https://github.com/benjaminrich/ttt/,https://github.com/benjaminrich/ttt
xtable,https://cran.r-project.org/package=xtable,,http://xtable.r-forge.r-project.org/
